id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects
PG17388,Andrew Marvell,"Birrell, Augustine",1850,1933,['en'],36,"{'Marvell, Andrew, 1621-1678', 'Authors, English -- Early modern, 1500-1700 -- Biography'}"
PG17389,The Dreamer: A Romantic Rendering of the Life-Story of Edgar Allan Poe,"Stanard, Mary Newton",1865,1929,['en'],19,"{'Poe, Edgar Allan, 1809-1849'}"
PG17433,Arkansas Governors and United States Senators,"Ferguson, John L. (John Lewis)",1926,2006,['en'],3,"{'Legislators -- United States', 'Governors -- Arkansas', 'Arkansas -- Politics and government'}"
PG17437,Health and Education,"Kingsley, Charles",1819,1875,['en'],18,"{'Natural history', 'Hygiene'}"
PG17438,Mrs. Wilson's Cook Book: Numerous New Recipes Based on Present Economic Conditions,"Wilson, Mary A.",,,['en'],59,"{'Cooking, American'}"
PG17475,"The Lobster Fishery of Maine: Bulletin of the United States Fish Commission, Vol. 19, Pages 241-265, 1899","Cobb, John N. (John Nathan)",1868,1930,['en'],11,{'Lobster fisheries -- Maine'}
PG17575,How to Camp Out,"Gould, John Mead",1839,1930,['en'],112,{'Camping'}
PG17592,"A Narrative of the Expedition to Dongola and Sennaar: Under the Command of His Excellence Ismael Pasha, undertaken; by Order of His Highness Mehemmed Ali Pasha, Viceroy of; Egypt, By An American In The Service Of The Viceroy","English, George Bethune",1787,1828,['en'],17,"{'Sudan -- History -- 1821-1881', 'Dunqulah (Sudan) -- History', 'Sudan -- History -- To 1821', 'Sennar (Sudan) -- History'}"
PG17712,The Moon: A Full Description and Map of its Principal Physical Features,"Elger, Thomas Gwyn",1838,1897,['en'],14,{'Moon'}
PG17881,From the Bottom Up: The Life Story of Alexander Irvine,"Irvine, Alexander",1863,1941,['en'],29,"{'Socialism', 'Irvine, Alexander, 1863-1941'}"
PG18096,The Social History of Smoking,"Apperson, George Latimer",1857,1937,['en'],36,{'Smoking'}
PG18097,Public School Domestic Science,"Hoodless, Adelaide",1858,1910,['en'],24,"{'Cooking -- Study and teaching (Secondary)', 'Home economics'}"
